Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,27.39,1,27.39,9.200438116100765
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,27.39,1,27.39,9.200438116100765
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"11,000",500,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,330,15,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"2,750",125,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,110,5,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,220,10,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,110,5,22.0,9.000000000000002
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"11,000",500,22.0,9.000000000000002
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,225,10,22.5,8.844444444444438
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"5,625",250,22.5,8.844444444444438
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"54,000","2,400",22.5,8.844444444444438
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,125",50,22.5,8.844444444444438
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,431.82,18,23.99,8.753647353063783
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,119.95,5,23.99,8.753647353063783
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"12,000",500,24.0,8.708333333333334
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,240,10,24.0,8.708333333333334
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,240,10,24.0,8.708333333333334
Masterworks 026,Barkley L. Hendricks,Selina/Star,34.2,71.0%,03/31/22,315,10,31.5,8.57142857142858
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"3,900",195,20.0,8.499999999999996
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,884,26,34.0,8.117647058823524
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,"1,700",50,34.0,8.117647058823524
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,280,10,28.0,7.999999999999995
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,"3,500",125,28.0,7.999999999999995
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,528.20,19,27.8,7.589928057553955
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,333,15,22.2,7.5225225225225305
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,140.75,5,28.15,7.424511545293072
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"1,721.25",85,20.25,7.16049382716049
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,141.25,5,28.25,7.0442477876106135
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"5,720",250,22.88,7.036713286713285
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,129.75,5,25.95,7.013487475915222
Masterworks 026,Barkley L. Hendricks,Selina/Star,34.2,71.0%,03/31/22,"9,600",300,32.0,6.875000000000009
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,"3,500",125,28.0,6.821428571428571
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,300",50,26.0,6.807692307692307
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,950",75,26.0,6.807692307692307
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,300",50,26.0,6.807692307692307
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,650.50,25,26.02,6.725595695618755
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"1,049.50",50,20.99,6.669842782277286
